,date,new_confirmed_cases,new_deaths,new_recoveries,confirmed_MA,deaths_MA,recovered_MA,confirmed_exp_MA,deaths_exp_MA,recovered_exp_MA,currently_infected,delta
22,2020-02-13,15148,253,1145,7783.5,129.0,806.0,10444.61914108802,180.9987023179637,946.4933398810319,52704,-7666
23,2020-02-14,6517,152,1763,10832.5,202.5,1454.0,7826.206380353401,161.66623410591944,1490.8311132956044,57306,-9581
24,2020-02-15,2145,143,1337,4331.0,147.5,1550.0,4038.7354601133306,149.22207803529176,1388.2770377650804,57971,-11061
25,2020-02-16,2194,104,1470,2169.5,123.5,1403.5,2808.9118200372927,119.07402601175207,1442.7590125883817,58591,-12635
26,2020-02-17,2034,98,1718,2114.0,101.0,1594.0,2292.3039400123635,105.02467533724887,1626.2530041961513,58809,-14451
27,2020-02-18,1878,139,1769,1956.0,118.5,1743.5,2016.1013133374424,127.67489177908395,1721.417668065388,58779,-16359
28,2020-02-19,503,115,1769,1190.5,127.0,1769.0,1007.3671044457994,119.2249639263612,1753.139222688463,57398,-18243
29,2020-02-20,558,125,2056,530.5,120.0,1912.5,707.789034815265,123.07498797545374,1955.046407562822,55775,-20424
30,2020-02-21,644,4,713,601.0,64.5,1384.5,665.2630116050883,43.69166265848445,1127.015469187606,55702,-21141
31,2020-02-22,1756,207,3996,1200.0,105.5,2354.5,1392.4210038683632,152.5638875528282,3039.6718230625365,53255,-25344
32,2020-02-23,386,11,508,1071.0,109.0,2252.0,721.4736679561211,58.187962517609385,1351.890607687512,53122,-25863
33,2020-02-24,585,160,1833,485.5,85.5,1170.5,630.4912226520404,126.06265417253645,1672.6302025625039,51714,-27856
34,2020-02-25,845,79,2678,715.0,119.5,2255.5,773.4970742173468,94.68755139084548,2342.8767341875014,49802,-30613
35,2020-02-26,982,62,2479,913.5,70.5,2578.5,912.4990247391156,72.89585046361516,2433.6255780625,48243,-33154
36,2020-02-27,1359,44,2893,1170.5,53.0,2686.0,1210.1663415797052,53.63195015453838,2739.8751926874997,46665,-36091
37,2020-02-28,1368,58,3434,1363.5,51.0,3163.5,1315.3887805265683,56.54398338484612,3202.6250642291666,44541,-39583
38,2020-02-29,1889,69,3071,1628.5,63.5,3252.5,1697.7962601755228,64.84799446161537,3114.875021409722,43290,-42723
39,2020-03-01,2358,55,2934,2123.5,62.0,3002.5,2137.932086725174,58.28266482053846,2994.2916738032404,42659,-45712
40,2020-03-02,1938,89,2886,2148.0,72.0,2910.0,2004.6440289083912,78.76088827351282,2922.09722460108,41622,-48687
41,2020-03-03,2535,75,2627,2236.5,82.0,2756.5,2358.214676302797,76.25362942450427,2725.3657415336934,41455,-51389
42,2020-03-04,2280,94,2942,2407.5,84.5,2784.5,2306.071558767599,88.08454314150141,2869.788580511231,40699,-54425
43,2020-03-05,2762,94,2626,2521.0,94.0,2784.0,2610.023852922533,92.02818104716714,2707.2628601704105,40741,-57145
44,2020-03-06,3914,112,2069,3338.0,103.0,2347.5,3479.341284307511,105.34272701572239,2281.75428672347,42474,-59326
45,2020-03-07,4036,98,2493,3975.0,105.0,2281.0,3850.4470947691702,100.44757567190747,2422.5847622411566,43919,-61917
46,2020-03-08,3999,245,2336,4017.5,171.5,2414.5,3949.4823649230566,196.81585855730248,2364.861587413719,45337,-64498
47,2020-03-09,3747,193,1817,3873.0,219.0,2076.5,3814.494121641019,194.27195285243417,1999.6205291379065,47074,-66508
48,2020-03-10,5000,266,1892,4373.5,229.5,1854.5,4604.83137388034,242.0906509508114,1927.8735097126355,49916,-68666
49,2020-03-11,7283,353,2599,6141.5,309.5,2245.5,6390.27712462678,316.0302169836038,2375.291169904212,54247,-71618
50,2020-03-12,2478,105,1321,4880.5,229.0,1960.0,3782.0923748755936,175.34340566120127,1672.4303899680708,55299,-73044
51,2020-03-13,16850,684,1927,9664.0,394.5,1624.0,12494.030791625199,514.4478018870672,1842.1434633226902,69538,-75655
52,2020-03-14,10906,415,2373,13878.0,549.5,2150.0,11435.343597208399,448.14926729568907,2196.0478211075633,77656,-78443
53,2020-03-15,11348,621,3410,11127.0,518.0,2891.5,11377.114532402798,563.383089098563,3005.3492737025213,84973,-82474
54,2020-03-16,14099,686,2054,12723.5,653.5,2732.0,13191.704844134265,645.1276963661877,2371.116424567507,96332,-85214
55,2020-03-17,15622,779,2752,14860.5,732.5,2403.0,14811.901614711422,734.3758987887292,2625.038808189169,108423,-88745
56,2020-03-18,17747,828,2473,16684.5,803.5,2612.5,16768.633871570473,796.7919662629097,2523.679602729723,122869,-92046
57,2020-03-19,27798,1134,1649,22772.5,981.0,2061.0,24121.544623856826,1021.5973220876366,1940.559867576574,147884,-94829
58,2020-03-20,29454,1432,2441,28626.0,1283.0,2045.0,27676.51487461894,1295.1991073625456,2274.186622525525,173465,-98702
59,2020-03-21,32361,1674,4273,30907.5,1553.0,3357.0,30799.50495820631,1547.7330357875153,3606.728874175175,199879,-104649
60,2020-03-22,32492,1650,5567,32426.5,1662.0,4920.0,31927.83498606877,1615.9110119291718,4913.576291391725,225154,-111866
61,2020-03-23,41267,1874,3715,36879.5,1762.0,4641.0,38153.94499535626,1787.9703373097238,4114.525430463908,260832,-117455
62,2020-03-24,39679,2118,6747,40473.0,1996.0,5231.0,39170.64833178542,2007.9901124365745,5869.508476821303,291646,-126320
