,confirmed,country,date,datetime,deaths,file_date,province,recovered
182,35,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Fujian,0
191,9,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Shanxi,0
181,36,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Jiangxi,0
172,83,China,2020-01-26,2020-01-26 16:00:00,1,2020-01-26,Henan,0
169,1058,China,2020-01-26,2020-01-26 16:00:00,52,2020-01-26,Hubei,42
205,1,America,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Arizona,0
193,7,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Inner Mongolia,0
202,1,America,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Washington,0
201,1,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Qinghai,0
200,4,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Xinjiang,0
199,4,Taiwan,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Taiwan,0
195,5,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Guizhou,0
197,4,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Ningxia,0
203,1,America,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Illinois,0
198,4,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Jilin,0
204,2,America,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,California,0
215,1,Canada,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Ontario,0
196,5,Macau,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Macau,0
207,8,Thailand,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Thailand,2
208,3,South Korea,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,South Korea,0
209,4,Singapore,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Singapore,0
210,2,Vietnam,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Vietnam,0
211,3,France,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,France,0
212,4,Australia,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Australia,0
213,1,Nepal,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Nepal,0
214,4,Malaysia,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Malaysia,0
194,7,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Gansu,0
206,4,Japan,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Japan,1
225,70,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Anhui,0
224,72,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Jiangxi,2
223,75,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Shandong,0
221,100,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Hunan,0
216,1423,China,2020-01-27,2020-01-27 23:59:00,76,2020-01-27,Hubei,45
219,128,China,2020-01-27,2020-01-27 23:59:00,1,2020-01-27,Henan,0
218,128,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Zhejiang,1
217,151,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Guangdong,4
227,59,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Fujian,0
220,110,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Chongqing,0
226,69,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Sichuan,0
233,27,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Liaoning,0
239,13,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Shanxi,0
238,14,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Gansu,0
237,18,China,2020-01-27,2020-01-27 23:59:00,1,2020-01-27,Hebei,0
236,21,China,2020-01-27,2020-01-27 23:59:00,1,2020-01-27,Heilongjiang,0
228,53,China,2020-01-27,2020-01-27 23:59:00,1,2020-01-27,Shanghai,3
234,26,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Yunnan,0
235,23,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Tianjin,0
232,33,China,2020-01-27,2020-01-27 23:59:00,1,2020-01-27,Hainan,0
231,35,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Shaanxi,0
230,46,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Guangxi,0
240,11,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Inner Mongolia,0
229,47,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Jiangsu,1
222,80,China,2020-01-27,2020-01-27 23:59:00,1,2020-01-27,Beijing,2
247,5,Taiwan,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Taiwan,0
241,8,Hong Kong,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Hong Kong,0
242,7,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Guizhou,0
253,4,Japan,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Japan,1
244,6,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Jilin,0
245,6,Macau,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Macau,0
246,6,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Qinghai,0
248,5,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Xinjiang,0
250,1,America,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Illinois,0
251,2,America,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,California,0
252,1,America,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Arizona,0
254,8,Thailand,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Thailand,2
266,1,Australia,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Victoria,0
249,1,America,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Washington,0
257,2,Vietnam,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Vietnam,0
255,4,South Korea,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,South Korea,0
256,5,Singapore,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Singapore,0
265,4,Australia,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,New South Wales,0
264,1,Ivory Coast,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Ivory Coast,0
263,1,Sri Lanka,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Sri Lanka,0
243,7,China,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Ningxia,0
261,1,Canada,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Ontario,0
260,4,Malaysia,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Malaysia,0
259,1,Nepal,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Nepal,0
258,3,France,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,France,0
262,1,Cambodia,2020-01-27,2020-01-27 23:59:00,0,2020-01-27,Cambodia,0
292,11,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Ningxia,0
277,90,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Sichuan,0
276,91,China,2020-01-28,2020-01-28 23:00:00,1,2020-01-28,Beijing,4
275,95,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Shandong,0
274,106,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Anhui,0
270,168,China,2020-01-28,2020-01-28 23:00:00,1,2020-01-28,Henan,0
271,143,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Hunan,0
269,173,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Zhejiang,3
267,3554,China,2020-01-28,2020-01-28 23:00:00,125,2020-01-28,Hubei,80
278,80,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Fujian,0
272,132,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Chongqing,0
273,109,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Jiangxi,3
285,34,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Liaoning,0
290,19,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Gansu,0
